0	P	{'goto_state': 1}
158	A	{'goto_state': 191}
159	sentence_block	{'goto_state': 192}
171	expression	{'goto_state': 200}
171	add_expression	{'goto_state': 74}
171	item	{'goto_state': 75}
171	factor	{'goto_state': 76}
184	add_expression	{'goto_state': 202}
184	item	{'goto_state': 142}
184	factor	{'goto_state': 143}
185	add_expression	{'goto_state': 203}
185	item	{'goto_state': 142}
185	factor	{'goto_state': 143}
186	item	{'goto_state': 204}
186	factor	{'goto_state': 143}
187	item	{'goto_state': 205}
187	factor	{'goto_state': 143}
188	expression	{'goto_state': 98}
188	add_expression	{'goto_state': 99}
188	item	{'goto_state': 100}
188	factor	{'goto_state': 101}
188	argument_list	{'goto_state': 206}
191	sentence_block	{'goto_state': 208}
192	N	{'goto_state': 210}
193	inner_declare	{'goto_state': 211}
193	inner_var_declare	{'goto_state': 31}
195	add_expression	{'goto_state': 212}
195	item	{'goto_state': 168}
195	factor	{'goto_state': 169}
196	add_expression	{'goto_state': 213}
196	item	{'goto_state': 168}
196	factor	{'goto_state': 169}
197	item	{'goto_state': 214}
197	factor	{'goto_state': 169}
198	item	{'goto_state': 215}
198	factor	{'goto_state': 169}
199	expression	{'goto_state': 98}
199	add_expression	{'goto_state': 99}
199	item	{'goto_state': 100}
199	factor	{'goto_state': 101}
199	argument_list	{'goto_state': 216}
209	inner_declare	{'goto_state': 219}
209	inner_var_declare	{'goto_state': 31}
211	sentence_list	{'goto_state': 221}
211	sentence	{'goto_state': 34}
211	assign_sentence	{'goto_state': 35}
211	return_sentence	{'goto_state': 36}
211	while_sentence	{'goto_state': 37}
211	if_sentence	{'goto_state': 38}
219	sentence_list	{'goto_state': 223}
219	sentence	{'goto_state': 34}
219	assign_sentence	{'goto_state': 35}
219	return_sentence	{'goto_state': 36}
219	while_sentence	{'goto_state': 37}
219	if_sentence	{'goto_state': 38}
220	M	{'goto_state': 224}
224	A	{'goto_state': 227}
227	sentence_block	{'goto_state': 228}
